чычканча CICKanCa
жуулуп Zuulup
жуурканды ZuurKandI
жүгүртүп Zygyrtyp
жүк Zyk
жүн Zyn
жүргөн ZyrgOn
жүргөнүн ZyrgOnyn
ач aC
ачык aCIK
ачылгандай aCIlGandaj
ачылып aCIlIp
ачылды aCIldI
ачынып aCInIp
ачканга aCKanGa
ачармын aCarmIn
ачпаса aCpasa
ачуулуу aCuuluu
ачуусу aCuusu
агышы aGISI
агышына aGISIna
агымына aGImIna
агындыларга aGIndIlarGa
агып aGIp
агызып aGIzIp
ага aGa
ак aK
акырын aKIrIn
акжолтойлорум aKZoltojlorum
аксарбашыл aKsarbaSIl
актоого aKtooGo
аша aSa
ажыдаардын aZIdaardIn
абышка abISKa
абыштын abIStIn
абайлап abajlap
абалы abalI
абдыракман abdIraKman
абдыракманды abdIraKmandI
абдыракмандын abdIraKmandIn
абдырахман abdIrahman
адам adam
адамдарды adamdardI
ай aj
айгыры ajGIrI
айыгып ajIGIp
айыл ajIl
айылга ajIlGa
айылды ajIldI
айылдын ajIldIn
айылдагы ajIldaGI
айылдагыларга ajIldaGIlarGa
айылдан ajIldan
айылдарга ajIldarGa
айкындайт ajKIndajt
аягын ajaGIn
аял ajal
аялы ajalI
аялына ajalIna
айкөл ajkOl
айланганына ajlanGanIna
айланып ajlanIp
айланды ajlandI
айт ajt
айтышты ajtIStI
айтылбаган ajtIlbaGan
айтор ajtor
айтпайсыңбы ajtpajsINbI
айтты ajttI
айтуудан ajtuudan
аккан akKan
ал al
алгач alGaC
алганын alGanIn
алгандай alGandaj
алышпай alISpaj
алынчу alInCu
алыптырбы alIptIrbI
ала ala
алагыр alaGIr
алакан alaKan
алаканын alaKanIn
алакандай alaKandaj
алааматы alaamatI
алабармандап alabarmandap
алар alar
аларга alarGa
алардын alardIn
албады albadI
албай albaj
алды aldI
алдыга aldIGa
алдындагы aldIndaGI
алейкимаассалам alejkimaassalam
алек alek
алиге alige
алсыз alsIz
аман aman
анча anCa
аны anI
анын anIn
анысын anIsIn
анан anan
анда anda
андай andaj
анткени antkeni
апамды apamdI
апасынын apasInIn
аптадай aptadaj
ар ar
аргасыз arGasIz
арык arIK
арыктын arIKtIn
арыктардын arIKtardIn
аркасына arKasIna
арадан aradan
аракеттеринен araketterinen
аралаш aralaS
арбашып arbaSIp
ардактуу ardaKtuu
арсак arsaK
арстандын arstandIn
аска asKa
аскадан asKadan
асмандан asmandan
ассалоомалейким assaloomalejkim
аты atI
атырылып atIrIlIp
атканча atKanCa
атактуу ataKtuu
атаэне ataene
атаэнеси ataenesi
атай ataj
аталат atalat
атасы atasI
аттын attIn
аттанып attanIp
аттуулардын attuulardIn
азыр azIr
азапка azapKa
азаптозогуна azaptozoGuna
азуусундай azuusundaj
бычактай bICaKtaj
бышкан bISKan
былк bIlk
бөлүнгөн bOlyngOn
багыт baGIt
бакырып baKIrIp
бакшы baKSI
баш baS
башы baSI
башын baSIn
башка baSKa
башкачараак baSKaCaraaK
башаягында baSajaGInda
башбактаган baSbaKtaGan
баштады baStadI
баштан baStan
баштанып baStanIp
бажыраят baZIrajat
баары baarI
баарыбыз baarIbIz
баарын baarIn
баатырдын baatIrdIn
бай baj
байга bajGa
байым bajIm
байыр bajIr
байкабасын bajKabasIn
байкап bajKap
байа baja
байдыкы bajdIKI
байдын bajdIn
байда bajda
байдан bajdan
байлыкты bajlIKtI
байланып bajlanIp
баккан bakKan
бала bala
балаң balaN
баламын balamIn
баламдын balamdIn
баланын balanIn
баласы balasI
баласынын balasInIn
балким balkim
бар bar
барын barIn
барып barIp
бара bara
баратканын baratKanIn
барбы barbI
бастекти bastekti
батышты batIStI
бата bata
бейкут bejKut
бейм bejm
бекен beken
белек belek
белгисин belgisin
белсене belsene
берчү berCy
берди berdi
берем berem
берери bereri
берет beret
берген bergen
бергенсип bergensip
бери beri
берки berki
бет bet
бетер beter
бетмаңдайында betmaNdajInda
беттен betten
бий bij
бийдин bijdin
билбей bilbej
биле bile
билген bilgen
билгенде bilgende
билишпес biliSpes
бир bir
бирыңтай birINtaj
бирөө birOO
бирде birde
бирержарымын birerZarImIn
бирибири biribiri
бирибирин biribirin
биринсерин birinserin
бирок biroK
бошотчудай boSotCudaj
божомолдоду boZomoldodu
бой boj
бойдон bojdon
бойлой bojloj
боюндагы bojundaGI
болгон bolGon
болгондой bolGondoj
болгонун bolGonun
болжолун bolZolun
болбогон bolboGon
болбосо bolboso
болду boldu
болом bolom
болсо bolso
болушат boluSat
болуп bolup
бооруна booruna
борош boroS
бул bul
булактап bulaKtap
булар bular
буларды bulardI
булдуруктап bulduruKtap
бурат burat
бурушпады buruSpadI
бурулган burulGan
бут but
буттары buttarI
буурадай buuradaj
бүлөлөрү bylOlOry
бүлүк bylyk
бүрчүктөрүн byrCyktOryn
бүткүл bytkyl
бүтпөгөндөй bytpOgOndOj
дөңдөгү dONdOgy
дөңсөөнүн dONsOOnyn
дөө dOO
дөөлөттү dOOlOtty
да da
даңкайышат daNKajISat
дабыш dabIS
дабышы dabISI
дайынсыз dajInsIz
далай dalaj
далбалактап dalbalaKtap
далбасалады dalbasaladI
далбасалайт dalbasalajt
далдаланып daldalanIp
дамбалчан dambalCan
дамбалы dambalI
дарысы darIsI
дарбазадай darbazadaj
дарегин daregin
дарты dartI
деген degen
дегенде degende
дегендей degendej
дегенин degenin
дегенсишип degensiSip
дегенсип degensip
дейм dejm
дейт dejt
деле dele
ден den
денесинин denesinin
деп dep
добуштар dobuStar
долуланып dolulanIp
доомат doomat
дүбүртү dybyrty
дүйнө dyjnO
дүйнөдө dyjnOdO
дүйнөнү dyjnOny
дүпүйүп dypyjyp
дүрбөлөңгө dyrbOlONgO
эч eC
эшиги eSigi
эшикке eSikke
ээгине eegine
ээлендирип eelendirip
ээрчий eerCij
ээрчитип eerCitip
экен eken
экенин ekenin
экенине ekenine
экенсиңер ekensiNer
эки eki
экиүч ekiyC
эл el
эле ele
элек elek
электе elekte
элесин elesin
эмес emes
эместигин emestigin
эми emi
эмиштер emiSter
эмне emne
энеси enesi
эпсиз epsiz
эрдикатын erdiKatIn
эрегиши eregiSi
эрегишкен eregiSken
эртең erteN
эртеңки erteNki
эсдарты esdartI
эсдартында esdartInda
эске eske
эски eski
эстешти esteSti
эстен esten
эстеп estep
этек etek
этектери etekteri
этияттанды etijattandI
этип etip
этпеди etpedi
этти etti
эзелден ezelden
гөр gOr
ичише iCiSe
ичинде iCinde
иштин iStin
ийди ijdi
ийинден ijinden
ийненин ijnenin
илбегендерге ilbegenderge
имиш imiS
итетайы itetajI
издөөдөн izdOOdOn
издешип izdeSip
издеген izdegen
изделбеген izdelbegen
изи izi
көңүл kONyl
көңүлү kONyly
көңүлүн kONylyn
көңүлүнөн kONylynOn
көөдөнү kOOdOny
көк kOk
көккашат kOkKaSat
көктөн kOktOn
көктүн kOktyn
көлчүккө kOlCykkO
көлчүктөргө kOlCyktOrgO
көлбүп kOlbyp
көп kOp
көпүрөлөр kOpyrOlOr
көрөңгөсүнүн kOrONgOsynyn
көрбөй kOrbOj
көргөн kOrgOn
көргөнсүп kOrgOnsyp
көрсөтчү kOrsOtCy
көрүштү kOrySty
көрүндү kOryndy
көтөргөндө kOtOrgOndO
көтөрүлдү kOtOryldy
көтөрүлүп kOtOrylyp
көтөрүп kOtOryp
көз kOz
көзөмөлдөп kOzOmOldOp
көздөй kOzdOj
көздөрү kOzdOry
көздөрүнө kOzdOrynO
көздөрүнөн kOzdOrynOn
көзү kOzy
көзүңөрдү kOzyNOrdy
көзүңү kOzyNy
көзүм kOzym
көзүмө kOzymO
көзүн kOzyn
көзүнчө kOzynCO
көзүнөн kOzynOn
көзүндөй kOzyndOj
кечпес keCpes
кең keN
кеңколдун keNKoldun
кеңеш keNeS
кебетесин kebetesin
кээде keede
кеги kegi
келди keldi
келген kelgen
келгенде kelgende
келгендер kelgender
келип kelip
келиптир keliptir
келтирди keltirdi
кемегелер kemegeler
керек kerek
керилип kerilip
кеселге keselge
кесип kesip
кески keski
кетет ketet
кетишмекпи ketiSmekpi
кетишти ketiSti
кетип ketip
кеткен ketken
кичинекей kiCinekej
киши kiSi
кишилер kiSiler
кишилерди kiSilerdi
кишинин kiSinin
кийимдерди kijimderdi
кийин kijin
кийинки kijinki
кийиз kijiz
ким kim
кимдин kimdin
кимиси kimisi
кимисине kimisine
кирди kirdi
кире kire
кирет kiret
кирген kirgen
киргизе kirgize
кирипчыккандын kiripCIkKandIn
күчтүү kyCtyy
күчүнөн kyCynOn
күңгөй kyNgOj
күңгөйтескей kyNgOjteskej
күбөсүнө kybOsynO
күйүтүнө kyjytynO
күкүктөп kykyktOp
күмбөзү kymbOzy
күн kyn
күндөн kyndOn
күндүн kyndyn
күнгө kyngO
күнү kyny
күпүлдөгөн kypyldOgOn
күрмөсүнүн kyrmOsynyn
күрүлдөйт kyryldOjt
күтпөй kytpOj
күттү kytty
мыкачылыкка mIKaCIlIkKa
мынча mInCa
мындай mIndaj
мыскылдуу mIsKIlduu
мага maGa
маңдайы maNdajI
маңдайында maNdajInda
маңдайлаш maNdajlaS
маани maani
майдамайда majdamajda
майтарылган majtarIlGan
мал mal
малчы malCI
малга malGa
малын malIn
малдын maldIn
малдан maldan
малдарын maldarIn
манастын manastIn
мандаш mandaS
мас mas
мейкин mejkin
мейманга mejmanGa
меймандарга mejmandarGa
меймандардын mejmandardIn
мен men
менден menden
менен menen
мененки menenki
менин menin
миң miN
мобу mobu
мойнуна mojnuna
мол mol
молдолорду moldolordu
мончокторуна monCoKtoruna
мунун munun
мурда murda
муруттары muruttarI
муунун muunun
нечен neCen
немеге nemege
нерсе nerse
нерсеге nersege
нерсени nerseni
нугу nuGu
нурлары nurlarI
о o
очоктор oCoKtor
ого oGo
окшоду oKSodu
окшоп oKSop
окторулган oKtorulGan
окуя oKuja
окуянын oKujanIn
оңдонуп oNdonup
ошо oSo
ошол oSol
ошондо oSondo
ошондуктанбы oSonduKtanbI
ошону oSonu
ой oj
ойлошкон ojloSKon
ойтоонун ojtoonun
оюна ojuna
оо oo
оомийин oomijin
оор oor
оору ooru
оорулардын oorulardIn
оорулуу ooruluu
ооруну oorunu
оорунун oorunun
ооруп oorup
оорусуна oorusuna
ооз ooz
оозмооз oozmooz
оозундагы oozundaGI
ордунан ordunan
ортосунда ortosunda
отурган oturGan
отура otura
отурду oturdu
отурушкан oturuSKan
отуруп oturup
озунуп ozunup
пайда pajda
сыймыктанышып sIjmIKtanISIp
сылап sIlap
сыры sIrI
сырттан sIrttan
сөз sOz
сөздөрдү sOzdOrdy
сөздүн sOzdyn
сөзү sOzy
сөзүн sOzyn
сакал saKal
сакалын saKalIn
сакалынан saKalInan
сабы sabI
сайып sajIp
салгылачы salGIlaCI
салып salIp
салалоодо salaloodo
салды saldI
санга sanGa
санаалаш sanaalaS
санаасы sanaasI
саналган sanalGan
санап sanap
сансыз sansIz
себеп sebep
селейтти selejtti
сенден senden
сенин senin
сезбегендей sezbegendej
силер siler
согулганын soGulGanIn
соң soN
соолугу sooluGu
соолукту sooluKtu
созулуп sozulup
субан suban
субанга subanGa
субандын subandIn
сулк sulk
сулуу suluu
сураганым suraGanIm
сураганын suraGanIn
сурашчу suraSCu
сурабайм surabajm
сурайсурай surajsuraj
сурамжылашат suramZIlaSat
сурарым surarIm
суроо suroo
суу suu
сууй suuj
сууну suunu
суусунан suusunan
суусуну suusunu
суусунун suusunun
суута suuta
сүйлөшө syjlOSO
сүйлөшкүсү syjlOSkysy
сүйлөшпөй syjlOSpOj
сүрөп syrOp
тымызын tImIzIn
тымпыйышат tImpIjISat
тынч tInC
тыныбек tInIbek
тыныбектин tInIbektin
тыным tInIm
тынбайт tInbajt
төшөктө tOSOktO
төшөнчүлөрдү tOSOnCylOrdy
төшөнчүсүн tOSOnCysyn
төбөсүнөн tObOsynOn
төгүп tOgyp
төмөндөп tOmOndOp
төрдө tOrdO
төргө tOrgO
такалды taKaldI
тактайдай taKtajdaj
таң taN
таңга taNGa
таңында taNInda
таш taS
ташыбек taSIbek
ташкындатып taSKIndatIp
таштайт taStajt
таштарды taStardI
таамай taamaj
тааныбай taanIbaj
таанып taanIp
таасир taasir
таасири taasiri
таасирин taasirin
табылбаган tabIlbaGan
табылбаганы tabIlbaGanI
табына tabIna
табыптарды tabIptardI
табуу tabuu
талас talas
тамагын tamaGIn
тамашага tamaSaGa
таптакыр taptaKIr
тарыхтын tarIhtIn
тарабай tarabaj
тарапка tarapKa
тарапта tarapta
тараптагы taraptaGI
тараптан taraptan
тартып tartIp
тарткан tartKan
тартат tartat
тасырайып tasIrajIp
тең teN
теңселишет teNseliSet
тешик teSik
тебетейчен tebetejCen
тепкедей tepkedej
тептегиз teptegiz
теректер terekter
теректерди terekterdi
тиешелүү tieSelyy
тиет tiet
тиги tigi
тийди tijdi
тийгенсип tijgensip
тийгизди tijgizdi
тиктешип tikteSip
тилегин tilegin
тилеп tilep
тилге tilge
тилиң tiliN
тилин tilin
тилсиз tilsiz
тим tim
тиреше tireSe
тиричилик tiriCilik
токмогу toKmoGu
токой toKoj
той toj
тоймат tojmat
тоюнуп tojunup
толтура toltura
толуп tolup
томаяк tomajak
тоолор toolor
тоону toonu
топураган topuraGan
туштушта tuStuSta
туйганда tujGanda
тунат tunat
турган turGan
турганын turGanIn
тургансып turGansIp
тура tura
турасыңбы turasINbI
турду turdu
турмуштун turmuStun
турсун tursun
туруп turup
турууну turuunu
тутулуп tutulup
туура tuura
түңүлгөндөн tyNylgOndOn
түшө tySO
түшкөн tySkOn
түшкөндөй tySkOndOj
түштү tySty
түшүнө tySynO
түшүндүрүп tySyndyryp
түшүнүшкөн tySynySkOn
түбү tyby
түгөлдөшүп tygOldOSyp
түгүл tygyl
түктүйүп tyktyjyp
түндөгү tyndOgy
түнкү tynky
түнү tyny
түрткүлөгөнү tyrtkylOgOny
түрүнүп tyrynyp
учуп uCup
учурда uCurda
учуру uCuru
угушту uGuStu
угуп uGup
угууга uGuuGa
укту uKtu
ушакайыңдар uSaKajINdar
ушул uSul
ушундай uSundaj
убакыт ubaKIt
уйку ujKu
уялышты ujalIStI
уккан ukKan
унчукпай unCuKpaj
унчукпайт unCuKpajt
унутту unuttu
урганы urGanI
урунду urundu
утулду utuldu
уулуң uuluN
уулум uulum
ууру uuru
уурулар uurular
ууруларды uurulardI
узаттым uzattIm
үч yC
үчүн yCyn
үйбүлөнүн yjbylOnyn
үйдө yjdO
үйгө yjgO
үйлөрдүн yjlOrdyn
үйлөрүнө yjlOrynO
үйүнө yjynO
үйүндө yjyndO
үйүр yjyr
үйүрү yjyry
үмүт ymyt
үндү yndy
үнү yny
үрпөйтүп yrpOjtyp
үзөңгүгө yzONgygO
зар zar
зарыктырган zarIKtIrGan
зарлаганда zarlaGanda
зуура zuura
зуурага zuuraGa
</s> .
<s> .
<unk> @
[silence] .
